price,date
558.46,2013-07-02
556.617926464765,2013-07-03
558.4418984983540,2013-07-05
556.1815079614260,2013-07-08
558.7421181460450,2013-07-09
556.7145429578950,2013-07-10
556.5015553895100,2013-07-11
557.7667856107970,2013-07-12
551.0495722473980,2013-07-15
554.8340740028030,2013-07-16
554.8070490191690,2013-07-17
557.6146100013060,2013-07-18
559.1570219948180,2013-07-19
559.3257377573200,2013-07-22
564.3591483036580,2013-07-23
558.0703167166310,2013-07-24
554.2349204582850,2013-07-25
551.3644406674190,2013-07-26
547.297248717244,2013-07-29
547.8566211407140,2013-07-30
550.0680695030370,2013-07-31
558.6246937069550,2013-08-01
561.2672553416960,2013-08-02
564.4366607168670,2013-08-05
566.311865940852,2013-08-06
567.9156993925390,2013-08-07
570.3672658097000,2013-08-08
571.9355060306580,2013-08-09
575.819209311889,2013-08-12
577.7113326049170,2013-08-13
574.7454582978300,2013-08-14
574.0377684340540,2013-08-15
578.0630315628060,2013-08-16
576.2470016815770,2013-08-19
574.2508775763860,2013-08-20
569.2433910972590,2013-08-21
567.5823872631510,2013-08-22
566.305624604699,2013-08-23
570.4879765405250,2013-08-26
570.6910231231650,2013-08-27
568.9574869368510,2013-08-28
569.4149932807000,2013-08-29
563.4763256297310,2013-08-30
564.9886111326430,2013-09-03
565.3935820613820,2013-09-04
564.5086178096780,2013-09-05
563.2773582055710,2013-09-06
562.680934889911,2013-09-09
557.6975553466140,2013-09-10
558.1594000250020,2013-09-11
557.0955720626150,2013-09-12
560.7710699939010,2013-09-13
565.390470480282,2013-09-16
562.2432824397380,2013-09-17
562.0242524321120,2013-09-18
561.7622378914410,2013-09-19
560.9457943407340,2013-09-20
564.637433503083,2013-09-23
567.0214682159370,2013-09-24
561.3826141300850,2013-09-25
561.0827905758010,2013-09-26
561.8452616070530,2013-09-27
563.8704537197420,2013-09-30
561.4426701501240,2013-10-01
565.468603116863,2013-10-02
572.9527013912940,2013-10-03
568.866065413343,2013-10-04
563.8002688674060,2013-10-07
563.6416053996300,2013-10-08
566.9120623164480,2013-10-09
564.6853072451340,2013-10-10
564.2719442522030,2013-10-11
563.093278067801,2013-10-14
567.7860240990430,2013-10-15
569.1579103812260,2013-10-16
567.6665131319250,2013-10-17
563.7016475568270,2013-10-18
562.3774465322550,2013-10-21
562.4373539666450,2013-10-22
564.3972161134830,2013-10-23
561.1819419891360,2013-10-24
569.1999603338960,2013-10-25
572.5214448308410,2013-10-28
573.9615934613250,2013-10-29
570.973190422029,2013-10-30
568.3219266419930,2013-10-31
568.9153332808170,2013-11-01
567.9756210215940,2013-11-04
563.3944009153450,2013-11-05
565.8222347957110,2013-11-06
556.3892770550720,2013-11-07
556.0358050700230,2013-11-08
556.0803829860560,2013-11-11
556.8478978449970,2013-11-12
558.9777705617310,2013-11-13
549.5825372005140,2013-11-14
550.2552812493250,2013-11-15
549.7332567212720,2013-11-18
549.1215113339450,2013-11-19
554.7732907859410,2013-11-20
555.3122544123710,2013-11-21
560.205333512995,2013-11-22
559.2303159801680,2013-11-25
563.6304135177190,2013-11-26
565.8543960427700,2013-11-27
570.0609953452300,2013-11-29
565.6128172601220,2013-12-02
566.0796567136160,2013-12-03
567.7583916929680,2013-12-04
565.300988652177,2013-12-05
563.7043447366250,2013-12-06
560.75285515114,2013-12-09
564.6034235256140,2013-12-10
565.1677700063420,2013-12-11
564.105729124735,2013-12-12
562.6571940133760,2013-12-13
564.3082541287190,2013-12-16
563.688867770645,2013-12-17
558.9123675539030,2013-12-18
560.3490537580910,2013-12-19
556.2763675411880,2013-12-20
556.1993953518880,2013-12-23
555.1984750871820,2013-12-24
555.8246033662420,2013-12-26
553.7134726494830,2013-12-27
552.9051090481070,2013-12-30
559.6364066406550,2013-12-31
556.931342267684,2014-01-02
560.7555342765810,2014-01-03
565.5167626093550,2014-01-06
562.4397841067050,2014-01-07
569.8807889898360,2014-01-08
566.6803714812070,2014-01-09
573.9939781471600,2014-01-10
572.9951712469480,2014-01-13
574.1343461354980,2014-01-14
573.7583697203520,2014-01-15
570.6818102791170,2014-01-16
570.0178284039180,2014-01-17
575.1697083120590,2014-01-21
571.3603545787560,2014-01-22
571.1097296985170,2014-01-23
573.9664130294560,2014-01-24
574.9786300038260,2014-01-27
583.0409198436330,2014-01-28
585.6438472585320,2014-01-29
584.0641526080100,2014-01-30
584.1605042146030,2014-01-31
583.644053695427,2014-02-03
587.5257088075920,2014-02-04
586.4111811479420,2014-02-05
584.0771252255310,2014-02-06
584.5805837758720,2014-02-07
587.8259941118170,2014-02-10
587.7733778469380,2014-02-11
586.82630058797,2014-02-12
590.6707108011690,2014-02-13
590.6796655922930,2014-02-14
593.1068156878270,2014-02-18
597.4596568472380,2014-02-19
601.7272985794190,2014-02-20
606.8368163881880,2014-02-21
608.9708354192510,2014-02-24
601.6386592959790,2014-02-25
602.8417146433130,2014-02-26
603.1958372784820,2014-02-27
612.4230358548500,2014-02-28
615.307147746142,2014-03-03
617.1355260758000,2014-03-04
614.6138683411010,2014-03-05
616.3683513269310,2014-03-06
613.1416565280620,2014-03-07
612.3946876676580,2014-03-10
616.7479309920030,2014-03-11
616.7239446543850,2014-03-12
611.0700179590000,2014-03-13
617.3720463837680,2014-03-14
614.6281165073480,2014-03-17
618.597157023459,2014-03-18
618.3503831335180,2014-03-19
620.315600353996,2014-03-20
626.4825787024180,2014-03-21
622.1120252224230,2014-03-24
618.185873405221,2014-03-25
618.2842574784360,2014-03-26
623.3971047704290,2014-03-27
628.1769543659990,2014-03-28
628.6563813686600,2014-03-31
632.0604418720120,2014-04-01
635.4899532851080,2014-04-02
637.3059175894670,2014-04-03
639.4976628056810,2014-04-04
643.6704981282290,2014-04-07
646.0603160212310,2014-04-08
645.0961305032580,2014-04-09
638.6452341268030,2014-04-10
645.6455577189300,2014-04-11
648.3040742852280,2014-04-14
647.4549354839780,2014-04-15
643.5142144510900,2014-04-16
640.6948261124580,2014-04-17
637.99765196509,2014-04-21
632.0393797025210,2014-04-22
628.4253773232860,2014-04-23
628.2188848449150,2014-04-24
628.5126301449780,2014-04-25
625.1343716951990,2014-04-28
627.8542444253360,2014-04-29
621.3262325267170,2014-04-30
623.2908652671210,2014-05-01
623.0814539161220,2014-05-02
623.5124011723760,2014-05-05
633.4977429775050,2014-05-06
633.3243764664950,2014-05-07
637.8653431030210,2014-05-08
640.9331315044580,2014-05-09
638.93464161456,2014-05-12
631.9148338055030,2014-05-13
636.644798916413,2014-05-14
636.773369885419,2014-05-15
638.5639745226240,2014-05-16
637.8143907495890,2014-05-19
637.4189766342850,2014-05-20
635.5925501477680,2014-05-21
639.3316137897220,2014-05-22
639.0640716096940,2014-05-23
636.7263594569390,2014-05-27
635.5421883971660,2014-05-28
632.1185483300850,2014-05-29
630.1607261432480,2014-05-30
632.1208174620370,2014-06-02
636.2953789495320,2014-06-03
638.2364308200080,2014-06-04
636.4603155712060,2014-06-05
633.0361506954650,2014-06-06
627.5311257560630,2014-06-09
630.9769874526410,2014-06-10
633.9300060438950,2014-06-11
633.3907594132560,2014-06-12
630.7315322720930,2014-06-13
631.2666653625410,2014-06-16
636.1984595989660,2014-06-17
636.6597099110470,2014-06-18
631.8897194484560,2014-06-19
628.2537923630070,2014-06-20
633.5605251149370,2014-06-23
637.0006927707450,2014-06-24
637.0802418015180,2014-06-25
635.8740805941210,2014-06-26
640.0614026998820,2014-06-27
637.059686154294,2014-06-30
635.6034002059730,2014-07-01
630.2629816821180,2014-07-02
623.2329973232140,2014-07-03
622.9036545666480,2014-07-07
627.3422028181720,2014-07-08
624.0883613959220,2014-07-09
618.6641363847950,2014-07-10
613.3634891809970,2014-07-11
610.9771087766690,2014-07-14
612.7569695111770,2014-07-15
610.2700846738770,2014-07-16
611.2590419284590,2014-07-17
612.8044660344560,2014-07-18
614.0012630956740,2014-07-21
615.5765713027450,2014-07-22
611.0077918880110,2014-07-23
606.0981699789450,2014-07-24
606.3819715578330,2014-07-25
601.9010406080860,2014-07-28
594.9963987672020,2014-07-29
591.3412985576530,2014-07-30
595.4068738652150,2014-07-31
596.2000571376310,2014-08-01
589.3438774849040,2014-08-04
589.0479488803500,2014-08-05
593.5480103990110,2014-08-06
592.6038576729870,2014-08-07
596.4326228394920,2014-08-08
593.0655905015040,2014-08-11
591.7497148398730,2014-08-12
595.0723383658480,2014-08-13
595.8246115992970,2014-08-14
596.678543348118,2014-08-15
598.4465076335900,2014-08-18
592.323507969106,2014-08-19
593.2752619668920,2014-08-20
600.0542869673560,2014-08-21
596.4063324697360,2014-08-22
595.4503619191830,2014-08-25
591.490802926716,2014-08-26
594.465102540645,2014-08-27
596.8608833058020,2014-08-28
599.8330506457000,2014-08-29
592.4947860218380,2014-09-02
595.2296095089520,2014-09-03
597.1042675719840,2014-09-04
592.824306536273,2014-09-05
586.8429265628520,2014-09-08
589.9247833573510,2014-09-09
589.7744851589470,2014-09-10
587.3478536335350,2014-09-11
590.2257532442750,2014-09-12
592.663888804167,2014-09-15
592.7030593759540,2014-09-16
591.8985384272730,2014-09-17
596.8392849698480,2014-09-18
598.0961357045740,2014-09-19
599.9750846836030,2014-09-22
603.7212471493640,2014-09-23
601.0704482202230,2014-09-24
600.330187453601,2014-09-25
605.2921787298590,2014-09-26
599.5378827923690,2014-09-29
615.2317587921310,2014-09-30
613.8054653446180,2014-10-01
619.3573074865130,2014-10-02
618.0719878956510,2014-10-03
618.2830666022220,2014-10-06
627.6291626992140,2014-10-07
631.1556761153640,2014-10-08
633.7467963779000,2014-10-09
630.8694913174970,2014-10-10
629.3881601492120,2014-10-13
640.7749028245350,2014-10-14
640.7377373960860,2014-10-15
642.8171349638060,2014-10-16
645.8354006315220,2014-10-17
644.5571335656770,2014-10-20
641.440393261468,2014-10-21
638.0019125025270,2014-10-22
640.5329835331210,2014-10-23
633.4373364097040,2014-10-24
630.9727631283430,2014-10-27
632.8377198302360,2014-10-28
630.0720261232270,2014-10-29
627.1467671297590,2014-10-30
629.5873361231520,2014-10-31
638.0810378007460,2014-11-03
643.9189634001110,2014-11-04
644.2155582976230,2014-11-05
640.6529915049780,2014-11-06
636.8361645555830,2014-11-07
636.0554595983380,2014-11-10
637.1564766226610,2014-11-11
637.814999429469,2014-11-12
639.2437310982650,2014-11-13
644.1161447873390,2014-11-14
641.291914349561,2014-11-17
640.6904831485970,2014-11-18
642.7357691159370,2014-11-19
641.8838772589960,2014-11-20
642.6081205665550,2014-11-21
642.4587521552790,2014-11-24
641.3600041097010,2014-11-25
648.9205204397370,2014-11-26
647.4472669208320,2014-11-28
647.5143372497170,2014-12-01
642.2426838698680,2014-12-02
640.2426875114420,2014-12-03
636.3937704959930,2014-12-04
638.7639337422580,2014-12-05
634.4498774253470,2014-12-08
627.468459736934,2014-12-09
621.7949606805290,2014-12-10
623.7915306648200,2014-12-11
629.7147473406130,2014-12-12
620.8706357594370,2014-12-15
616.0637238390460,2014-12-16
618.2796940249330,2014-12-17
615.5805918270850,2014-12-18
620.1347475505250,2014-12-19
621.9226872469640,2014-12-22
621.8462343147450,2014-12-23
622.0866642624970,2014-12-24
624.5571873335360,2014-12-26
625.039476275094,2014-12-29
626.8604218376030,2014-12-30
619.1914628926040,2014-12-31
617.5429425705860,2015-01-02
610.3802798414730,2015-01-05
612.3469378953010,2015-01-06
610.460279895537,2015-01-07
617.6612166558630,2015-01-08
